Portfolio,Ticker,Weight,Proxy Weight,Active Weight,Proxy TE Variance Contribution Daily,MCAR to TE,Proxy TE Contribution Daily,Proxy TE Variance Contribution Pct
Minimum_TE,NEM,0.08159616760844096,0.002406015037593942,0.07919015257084702,8.5712785729024e-06,0.012712205230150547,0.0010066814716875414,0.12552658211295645
Minimum_TE,CHRW,0.1,0.0004010025062656569,0.09959899749373435,8.048628807525443e-06,0.009740179165177604,0.0009701120802610478,0.11787236365162689
Minimum_TE,GLW,0.06472779209873537,0.0020050125313282848,0.06272277956740709,6.795710152578981e-06,0.012705422189628,0.0007969193953108797,0.09952333963107919
Minimum_TE,FITB,0.1,0.0008020050125313138,0.09919799498746869,3.765689319676266e-06,0.0045571102272412315,0.000452056197479218,0.055148611211006594
Minimum_TE,AMD,0.02854592577371418,0.005513784461152883,0.023032141312561295,2.9970657254460032e-06,0.012705658600650701,0.00029263852435934675,0.043892100073902124
Minimum_TE,MPWR,0.026320913011598748,0.0009022556390977282,0.02541865737250102,2.7611175859337207e-06,0.012694891662724039,0.0003226871015558021,0.040436633861133976
Minimum_TE,INTC,0.022750953214653778,0.0035087719298245983,0.019242181284829178,2.3891581992376864e-06,0.01270838482107845,0.00024453704456456294,0.03498927964208025
Minimum_TE,ALB,0.020534176598243616,0.0004010025062656569,0.02013317409197796,2.154847893620338e-06,0.012699434243747709,0.0002556799204989991,0.03155779954633667
Minimum_TE,APP,0.020085296391279702,0.0020050125313282848,0.018080283859951418,2.1083728376793734e-06,0.012703231555195673,0.0002296780324566299,0.03087717122745072
Minimum_TE,CEG,0.018469649659690675,0.0017042606516290422,0.016765389008061633,1.937431118823008e-06,0.012694414072315457,0.00021282679015178048,0.028373725618251782
Minimum_TE,GEV,0.012308971837804893,0.004010025062656669,0.008298946775148225,1.2906312185069409e-06,0.012688942653039582,0.00010530485971048361,0.01890132542648154
Minimum_TE,LRCX,0.007909233291025832,0.005012531328320812,0.0028967019627050197,8.311692148595135e-07,0.01271745209598411,3.683866844704424e-05,0.012172493264735277
Minimum_TE,FCX,0.007766825304412085,0.0017042606516290422,0.006062564652783042,8.148274808055123e-07,0.012696007710038185,7.697036757433848e-05,0.011933168174067612
Minimum_TE,SNDK,2.9932041355670843e-18,0.0016040100250626277,-0.0016040100250626246,5.557580400442609e-22,0.022469554637816965,-3.60413908977508e-05,8.139089945005573e-18
Minimum_TE,STX,2.9156833119193795e-18,0.0015037593984962136,-0.0015037593984962108,3.581357228588158e-22,0.014864569581262217,-2.2352736212423942e-05,5.2449063276445746e-18
Minimum_TE,CIEN,1.154005161523217e-18,0.0008020050125313138,-0.0008020050125313126,1.2391573144152203e-22,0.012994624675520369,-1.0421754125730418e-05,1.8147488855462725e-18
Minimum_TE,WDC,0.0,0.0016040100250626277,-0.0016040100250626277,0.0,0.017662911982420742,-2.833148789160168e-05,0.0
Minimum_TE,TER,0.0,0.0009022556390977282,-0.0009022556390977282,0.0,0.015493542568062662,-1.3979136151635235e-05,0.0
Minimum_TE,FIX,0.0,0.0009022556390977282,-0.0009022556390977282,0.0,0.015080454181293291,-1.3606424825226787e-05,0.0
